,x,y,z
-1.492347,-0.002060943,-0.02281732,-0.9805999
-1.469479,-0.00175409,-0.02315526,-0.9843912
-1.455984,-0.003102305,-0.02463726,-0.9858148
-1.439264,-0.004248288,-0.02589696,-0.9870247
-1.416991,-0.004689078,-0.02633371,-0.9875977
-1.40385,-0.00506375,-0.02670494,-0.9880848
-1.387113,-0.003420704,-0.02714637,-0.9895563
-1.365221,-0.002024114,-0.02752159,-0.990807
-1.352055,-0.001754829,-0.02735301,-0.9902474
-1.335316,-0.001525937,-0.02720971,-0.9897717
-1.313344,-0.003018238,-0.02573522,-0.9864948
-1.299936,-0.004286694,-0.0244819,-0.9837096
-1.28302,-0.006355939,-0.02407347,-0.9741071
-1.260958,-0.008114798,-0.02372631,-0.965945
-1.248135,-0.006824336,-0.02433301,-0.957785
-1.231408,-0.005727444,-0.02484871,-0.950849
-1.209505,-0.004600536,-0.02574024,-0.9426761
-1.195759,-0.003642664,-0.02649804,-0.935729
-1.178914,-0.002974957,-0.02796157,-0.9237312
-1.157381,-0.002407406,-0.02920556,-0.9135331
-1.144073,-0.01099558,-0.03371679,-0.8873346
-1.127416,-0.01754479,-0.04295066,-0.8573686
-1.105657,-0.02311162,-0.05079944,-0.8318975
-1.091756,-0.008553263,-0.06677496,-0.8171433
-1.075085,0.00382134,-0.08035415,-0.8046021
-1.0531,0.01329605,-0.09511454,-0.8005981
-1.04021,0.02134956,-0.1076609,-0.7971947
-1.022673,0.02550568,-0.116691,-0.790143
-1.001462,0.02903838,-0.1243667,-0.7841491
-0.9880128,0.02453385,-0.1343173,-0.7998596
-0.9712577,0.020705,-0.1427754,-0.8132135
-0.9493818,0.03979621,-0.1456801,-0.8630599
-0.936182,0.05602374,-0.148149,-0.9054294
-0.9193735,0.07671335,-0.140717,-0.9768264
-0.897521,0.09429952,-0.1343998,-1.037514
-0.883728,0.1054643,-0.1161556,-1.16172
-0.867074,0.1149545,-0.100648,-1.267295
-0.8453026,0.1204965,-0.068316,-1.361674
-0.8321257,0.1252072,-0.0408338,-1.441895
-0.8152938,0.1195616,-0.004635941,-1.482916
-0.7934079,0.1147629,0.02613224,-1.517783
-0.7799187,0.09780255,0.05787448,-1.469002
-0.7632208,0.08338623,0.08485539,-1.427539
-0.7411537,0.07163589,0.1057979,-1.345533
-0.7278838,0.06164811,0.123599,-1.275827
-0.7111878,0.0575164,0.1374734,-1.19983
-0.6893468,0.05400445,0.1492667,-1.135233
-0.6764379,0.04201966,0.1511175,-1.050886
-0.6596766,0.0321164,0.1483993,-0.962435
-0.6378789,0.02369863,0.1460887,-0.8872516
-0.6239529,0.01511301,0.1424196,-0.8241125
-0.607255,0.007815239,0.1393008,-0.7704443
-0.5852399,0.002413217,0.1377714,-0.7249979
-0.5720758,-0.002178502,0.1364714,-0.6863685
-0.5553455,-0.001510693,0.1398044,-0.6730662
-0.5336208,-0.000943055,0.1426374,-0.6617593
-0.520237,-0.0009984352,0.1454278,-0.6666893
-0.5035987,-0.001045508,0.1477996,-0.6708798
-0.4812756,0.002441549,0.1549357,-0.6775843
-0.4680986,0.005405547,0.1610014,-0.6832831
-0.4512186,0.01037856,0.1703755,-0.753633
-0.4295659,0.01460562,0.1783435,-0.8134305
-0.4158096,0.02185844,0.183228,-0.9144201
-0.3991838,0.02802334,0.1873799,-1.000261
-0.3771429,0.03251964,0.1789522,-1.126547
-0.36411,0.03634149,0.1717886,-1.233889
-0.3472838,0.04100685,0.1418249,-1.318735
-0.3255568,0.0449724,0.1163558,-1.390854
-0.3119588,0.04363273,0.09167662,-1.43019
-0.2953959,0.04249401,0.07069933,-1.463625
-0.2732468,0.04863974,0.0379112,-1.472535
-0.2601428,0.05406046,0.0004557259,-1.439187
-0.2434778,0.05866807,-0.03138143,-1.410841
-0.2211218,0.06406998,-0.06115298,-1.365086
-0.2080555,0.0686616,-0.08645879,-1.326194
-0.1912498,0.06114328,-0.1086989,-1.245393
-0.1707916,0.0547527,-0.1276029,-1.176712
-0.1563635,0.04835025,-0.1428405,-1.096448
-0.1391869,0.04290817,-0.1557925,-1.028223
-0.1177258,0.03432961,-0.1602145,-0.9513953
-0.1038966,0.02703783,-0.1639731,-0.8860916
-0.08717966,0.02146009,-0.1561405,-0.8319384
-0.06528282,0.01671902,-0.1494827,-0.7859082
-0.05189896,0.01609715,-0.1421986,-0.7609961
-0.03524971,0.01556857,-0.136007,-0.7398208
-0.0134058,0.01938105,-0.1265145,-0.7439249
0,0.02262166,-0.1184458,-0.7474134
