,x,y,z
-1.24777,-0.03585503,-0.004834971,-0.9722601
-1.225708,-0.03516427,-0.006122169,-0.968151
-1.212885,-0.03078742,-0.008116366,-0.9594513
-1.196158,-0.0270671,-0.009811433,-0.9520565
-1.174255,-0.02639849,-0.01110118,-0.9320986
-1.160509,-0.02686758,-0.0118158,-0.9114164
-1.143664,-0.02838268,-0.01220808,-0.8823665
-1.122131,-0.02836589,-0.01272176,-0.8549259
-1.108824,-0.0280678,-0.01772859,-0.8255142
-1.092166,-0.02592157,-0.02430469,-0.7979833
-1.070407,-0.02228739,-0.03513061,-0.7787095
-1.056506,-0.01280682,-0.0477653,-0.7669685
-1.039835,-0.003863703,-0.06212398,-0.7536618
-1.01785,0.003803751,-0.07681967,-0.7464784
-1.00496,0.00645985,-0.09043653,-0.7433056
-0.9874229,0.01153564,-0.1092544,-0.7606108
-0.9662123,0.01847648,-0.1295526,-0.7861629
-0.9527631,0.02355738,-0.1473765,-0.8396115
-0.936008,0.02612061,-0.1621143,-0.8950025
-0.9141321,0.03567622,-0.1704712,-0.9838358
-0.9009323,0.04430718,-0.1748497,-1.069258
-0.8841238,0.05224889,-0.1728562,-1.179903
-0.8622713,0.06032914,-0.1742552,-1.304222
-0.8484783,0.05744356,-0.151759,-1.401055
-0.8318243,0.05499082,-0.1326372,-1.483363
-0.8100529,0.04372954,-0.09346236,-1.507666
-0.796876,0.03415745,-0.06016371,-1.528324
-0.7800441,0.02020014,-0.01591596,-1.495233
-0.7581582,0.008336426,0.02169464,-1.467105
-0.744669,-0.003326446,0.05601368,-1.395601
-0.7279711,-0.01323989,0.08518489,-1.334822
-0.705904,-0.01505391,0.108539,-1.2499
-0.6926341,-0.01950436,0.1275844,-1.170317
-0.6759381,-0.01891158,0.1422806,-1.087166
-0.6540971,-0.0175929,0.1526993,-1.018121
-0.6411881,-0.01561487,0.1564351,-0.9518707
-0.6244268,-0.0124006,0.1558449,-0.8921422
-0.6026292,-0.01393654,0.1542508,-0.8351486
-0.5887032,-0.01559972,0.1524696,-0.7868956
-0.5720053,-0.02239444,0.1464489,-0.7367495
-0.5499902,-0.0259538,0.1423372,-0.6946807
-0.5368261,-0.02812095,0.1381327,-0.6571227
-0.5200958,-0.02882034,0.1356684,-0.6300816
-0.4983711,-0.02898051,0.1341935,-0.6146721
-0.4849873,-0.02940047,0.1332127,-0.6078402
-0.468349,-0.03097451,0.1346393,-0.6125726
-0.4460258,-0.03298193,0.1421885,-0.6165602
-0.4328489,-0.03023306,0.1564502,-0.6410404
-0.4159689,-0.02579881,0.1691568,-0.715624
-0.3943162,-0.0242281,0.1822092,-0.8035378
-0.3805599,-0.01565862,0.1800153,-0.9443884
-0.363934,-0.008428353,0.1803879,-1.071943
-0.3418932,-0.001117614,0.1660681,-1.19326
-0.3288603,0.006950457,0.1487242,-1.30771
-0.3120341,0.01405379,0.123396,-1.392518
-0.290307,0.02009163,0.1018671,-1.464606
-0.2767091,0.02326285,0.0662732,-1.495161
-0.2601461,0.02595838,0.03601838,-1.521132
-0.2379971,0.02876285,-0.009090221,-1.507599
-0.2248931,0.03119586,-0.04982893,-1.485865
-0.2082281,0.03064837,-0.08546448,-1.440186
-0.1858721,0.03055437,-0.1164322,-1.395944
-0.1728058,0.02634601,-0.1344246,-1.313144
-0.1560001,0.0199136,-0.1499007,-1.230828
-0.1355419,0.01640929,-0.1609439,-1.142436
-0.1211138,0.013188,-0.170123,-1.061831
-0.1039371,0.01232675,-0.1705122,-0.9848654
-0.08247614,0.01138468,-0.1675861,-0.9134318
-0.06864691,0.01167683,-0.1630819,-0.8566801
-0.05192995,0.01118187,-0.1569113,-0.8160465
-0.03003311,0.01238221,-0.1495417,-0.7864991
-0.01664925,0.01636995,-0.1366434,-0.7703424
0,0.01955124,-0.1259167,-0.7590789
