l1
,x,y
-1.228653,-0.0228021,-0.02078502
-1.210156,-0.01938179,-0.01766727
-1.184666,-0.01647452,-0.01501718
-1.165994,-0.01400334,-0.0127646
-1.140503,-0.01190284,-0.01084991
-1.122338,-0.01011742,-0.009222424
-1.096739,-0.008599803,-0.00783906
-1.078047,-0.007309833,-0.006663202
-1.053566,-0.006213358,-0.005663723
-1.034494,-0.005281354,-0.004814164
-1.009169,-0.004489151,-0.004092039
-0.9893646,57.74619,142.9642
-0.9642138,49.45176,120.3689
-0.946084,42.209,102.0332
-0.9212689,36.98015,82.37624
-0.902266,31.88813,66.25789
-0.8768177,27.73491,48.161
-0.8582511,23.88967,32.45409
-0.8328352,20.34122,23.79456
-0.8135061,17.86754,9.854281
-0.7892919,15.32741,0.7785352
-0.774128,13.5008,-4.206613
-0.757257,12.05318,-12.16165
-0.7352991,10.6127,-15.16151
-0.7224331,9.388297,-17.04752
-0.7059379,8.242554,-17.95726
-0.683979,7.49617,-17.91914
-0.6703191,-7.120757,-29.57082
-0.6528859,-13.50764,-33.45568
-0.6319132,-17.729,-34.32363
-0.6183891,-21.26465,-36.07931
-0.6010017,-31.74245,-43.90052
-0.5800877,-26.94608,-37.44821
-0.5660381,-28.22417,-38.07134
-0.5493536,-30.43055,-38.2912
-0.5266685,-25.86597,-32.56227
-0.5146484,-27.28857,-33.1364
-0.4975309,-23.19529,-28.16594
-0.4762783,-19.71599,-23.94105
-0.4623985,-10.9136,-5.803807
-0.4451723,-2.031557,8.668683
-0.4240322,-1.726824,7.368381
-0.4109478,5.1822,19.74702
-0.3938351,10.23237,29.10341
-0.3725491,15.12001,37.04159
-0.358326,18.88951,42.60883
-0.3411293,22.47859,48.89001
-0.3200035,19.0018,38.28143
-0.3065434,16.08153,29.83949
-0.2893057,23.6618,48.53993
-0.261343,20.21753,39.32635
-0.2461147,17.5699,25.41673
-0.2289209,14.95192,20.77807
-0.2076063,13.16413,9.768705
-0.1943722,11.22451,4.895545
-0.1775723,10.04833,-1.902114
-0.1559734,13.98358,8.164194
-0.1427259,12.58605,1.687628
-0.1252756,10.89064,-1.516038
-0.104187,3.027045,-9.210794
-0.09038544,2.677988,-11.6206
-0.07366657,-4.426209,-16.70798
-0.05183887,-3.692279,-18.28826
-0.03837013,-3.103436,-16.28265
-0.02080917,-9.795422,-23.85729
0,-8.256109,-20.57375
l2
,x,y
0,-0.02638204,-0.02750739
0,-0.02242473,-0.02338129
0,-0.01906102,-0.01987409
0,-0.01620187,-0.01689298
0,-0.01377159,-0.01435903
0,-0.01170585,-0.01220518
0,-0.009949975,-0.0103744
0,-0.008457479,-0.008818242
0,-0.007188858,-0.007495506
0,-0.006110529,-0.00637118
0,-0.00519395,-0.005415503
0,-0.004414857,-0.004603178
0,63.52125,139.9985
0,53.99306,118.9987
0,45.8941,101.1489
0,39.70999,80.51812
0,33.75349,68.44041
0,29.39047,47.69997
0,24.9819,40.54498
0,21.23462,20.44826
0,18.04943,17.38102
0,15.34201,-0.1262865
0,13.04071,-0.1073435
0,10.7346,-12.92603
0,9.124413,-10.98713
0,7.580748,-19.07579
0,6.443635,-16.21442
0,5.652093,-21.01105
0,4.804279,-17.85939
0,4.608638,-18.72111
0,5.317339,-16.06046
0,-61.98026,-75.31737
0,-52.68322,-64.01977
0,-44.78074,-54.41681
0,-38.06363,-46.25428
0,-32.35409,-39.31614
0,-27.50097,-33.41872
0,-23.37583,-28.40592
0,-19.86946,-24.14503
0,-16.88904,-20.52328
0,-14.35568,-17.44478
0,-12.20233,-14.82807
0,-10.37198,-12.60386
0,-8.816185,-10.71328
0,-7.493757,-9.106287
0,-6.369694,-7.740344
0,-5.41424,-6.579293
0,-4.602104,-5.592399
0,-3.911789,-4.75354
0,53.89998,138.1748
0,45.81499,117.4486
0,38.94274,99.83129
0,33.45133,76.00504
0,30.70863,51.91701
0,26.10234,44.12946
0,24.11199,25.85548
0,21.89519,10.61763
0,18.61091,9.024986
0,16.16928,-3.098175
0,13.74388,-11.18998
0,11.6823,-9.51148
0,10.10495,-15.75612
0,8.589211,-21.06407
0,7.30083,-17.90446
0,5.330709,-19.49705
0,-58.2939,-75.28793
0,-49.54982,-63.99474
0,-42.11735,-54.39553
0,-35.79975,-46.23621
0,-30.42979,-39.30078
0,-25.86532,-33.40566
0,-21.98552,-28.39481
0,-18.68769,-24.13559
0,-15.88454,-20.51525
0,-13.50186,-17.43797
0,-11.47658,-14.82227
0,-9.755094,-12.59893
0,-8.29183,-10.70909
0,-7.048056,-9.102729
0,-5.990848,-7.73732
0,-5.092221,-6.576722
offset: -1
